ID,Season,Location,Fjord,Treatment,Sex,Maturity,Age,Fulton,name,value,Type
F_201,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,8,0.7696686841717635,Linoleic,14.7603114298,FA
F_201,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,8,0.7696686841717635,Linolenic,6.9673509542,FA
F_201,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,8,0.7696686841717635,Docosahexaenoic,5.2966167375,FA
F_201,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,8,0.7696686841717635,Eicosapentaenoic,4.9318100264,FA
F_201,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,8,0.7696686841717635,Arachidonic,0.3317789569,FA
F_202,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,3,1.0395328477080128,w3,47.75859941939999,FA index
F_202,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,3,1.0395328477080128,w6,31.2232185068,FA index
F_202,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,3,1.0395328477080128,SFA,24.9037847159,FA index
F_202,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,3,1.0395328477080128,MFA,13.8122484198,FA index
F_202,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,3,1.0395328477080128,PUFA,61.28396686439999,FA index
F_202,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,3,1.0395328477080128,Oleic,0.8914238741,FA
F_202,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,3,1.0395328477080128,Linoleic,28.6367171667,FA
F_202,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,3,1.0395328477080128,Linolenic,10.9388661049,FA
F_202,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,3,1.0395328477080128,Docosahexaenoic,9.3508741565,FA
F_202,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,3,1.0395328477080128,Eicosapentaenoic,9.448312774,FA
F_202,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,3,1.0395328477080128,Arachidonic,0.699823095,FA
F_204,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,6,0.8597408315773171,w3,22.2079989827,FA index
F_204,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,6,0.8597408315773171,w6,8.792441691899999,FA index
F_204,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,6,0.8597408315773171,SFA,22.2849819279,FA index
F_204,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,6,0.8597408315773171,MFA,51.1182650123,FA index
F_204,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,6,0.8597408315773171,PUFA,26.5967530594,FA index
F_204,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,6,0.8597408315773171,Oleic,22.3709060423,FA
F_204,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,6,0.8597408315773171,Linoleic,7.0317859175,FA
F_204,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,6,0.8597408315773171,Linolenic,2.6280983023,FA
F_204,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,6,0.8597408315773171,Docosahexaenoic,8.6808049966,FA
F_204,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,6,0.8597408315773171,Eicosapentaenoic,6.4059163782,FA
F_204,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,6,0.8597408315773171,Arachidonic,0.3548432344,FA
F_206,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,5,0.8218589457402558,w3,14.5733914827,FA index
F_206,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,5,0.8218589457402558,w6,6.6950013182,FA index
F_206,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,5,0.8218589457402558,SFA,34.49092452399999,FA index
F_206,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,5,0.8218589457402558,MFA,47.2072390718,FA index
F_206,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,5,0.8218589457402558,PUFA,18.3018364041,FA index
F_206,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,5,0.8218589457402558,Oleic,21.5510748643,FA
F_206,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,5,0.8218589457402558,Linoleic,4.7134553529,FA
F_206,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,5,0.8218589457402558,Linolenic,1.7468989561,FA
F_206,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,5,0.8218589457402558,Docosahexaenoic,6.8658174556,FA
F_206,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,5,0.8218589457402558,Eicosapentaenoic,2.6045424191,FA
F_206,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,5,0.8218589457402558,Arachidonic,0.3034221712,FA
F_207,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,1.027342552697875,w3,28.649952328100003,FA index
F_207,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,1.027342552697875,w6,18.775449772200002,FA index
F_207,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,1.027342552697875,SFA,16.961611532,FA index
F_207,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,1.027342552697875,MFA,46.1849681823,FA index
F_207,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,1.027342552697875,PUFA,36.853420286,FA index
F_207,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,1.027342552697875,Oleic,38.2574485123,FA
F_207,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,1.027342552697875,Linoleic,17.2283882452,FA
F_207,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,1.027342552697875,Linolenic,6.6564064309,FA
F_207,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,1.027342552697875,Docosahexaenoic,5.9799779405,FA
F_207,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,1.027342552697875,Eicosapentaenoic,5.2703045002,FA
F_207,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,1.027342552697875,Arachidonic,0.3673141968,FA
F_212,Q220,Bergsfjord,Bergsfjord,Impact,female,immature,5,1.055803845996146,w3,13.7169726713,FA index
F_212,Q220,Bergsfjord,Bergsfjord,Impact,female,immature,5,1.055803845996146,w6,0.8049767873000001,FA index
F_212,Q220,Bergsfjord,Bergsfjord,Impact,female,immature,5,1.055803845996146,SFA,18.0143261103,FA index
F_212,Q220,Bergsfjord,Bergsfjord,Impact,female,immature,5,1.055803845996146,MFA,58.9916648921,FA index
F_212,Q220,Bergsfjord,Bergsfjord,Impact,female,immature,5,1.055803845996146,PUFA,22.994008997699996,FA index
F_212,Q220,Bergsfjord,Bergsfjord,Impact,female,immature,5,1.055803845996146,Oleic,49.5565622782,FA
F_212,Q220,Bergsfjord,Bergsfjord,Impact,female,immature,5,1.055803845996146,Linoleic,0.0329984747,FA
F_212,Q220,Bergsfjord,Bergsfjord,Impact,female,immature,5,1.055803845996146,Linolenic,8.5050580138,FA
F_212,Q220,Bergsfjord,Bergsfjord,Impact,female,immature,5,1.055803845996146,Docosahexaenoic,7.1148492673,FA
F_212,Q220,Bergsfjord,Bergsfjord,Impact,female,immature,5,1.055803845996146,Eicosapentaenoic,6.3185438663,FA
F_212,Q220,Bergsfjord,Bergsfjord,Impact,female,immature,5,1.055803845996146,Arachidonic,0.5011280607,FA
F_213,Q220,Bergsfjord,Bergsfjord,Impact,female,immature,4,0.9093232661199092,w3,27.694998579599996,FA index
F_213,Q220,Bergsfjord,Bergsfjord,Impact,female,immature,4,0.9093232661199092,w6,17.781325318799997,FA index
F_213,Q220,Bergsfjord,Bergsfjord,Impact,female,immature,4,0.9093232661199092,SFA,16.218349007999997,FA index
